M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20
A	A	C	E	A	A	E	E	D	E	D	D	D	B	C	D	E	D	D	C
D	A	C	C	A	C	E	C	E	D	C	D	E	B	C	D	D	C	C	C
A	E	C	D	A	A	E	E	C	E	D	A	E	D	E	D	E	E	A	E
A	A	C	D	A	A	E	C	D	D	A	A	E	B	C	D	D	C	B	C
D	C	C	D	A	E	D	C	C	A	A	A	E	D	E	D	E	E	C	C
A	D	E	D	E	A	D	E	E	E	A	C	E	B	E	D	D	D	C	D
E	D	C	D	A	A	D	C	A	D	C	A	D	D	E	D	D	C	E	C
D	E	C	D	A	E	E	C	D	E	A	D	D	D	C	D	D	D	C	C
A	C	C	D	A	E	C	B	D	E	E	A	E	B	E	E	C	D	C	C
A	D	C	D	A	D	E	A	C	D	A	A	E	B	E	E	B	E	C	C
A	E	C	D	A	E	E	D	E	B	A	E	E	E	E	E	D	C	E	C
D	E	C	D	A	A	E	C	C	E	B	A	E	D	E	D	E	C	D	C
E	E	C	D	A	B	E	C	B	E	A	A	D	E	E	D	A	E	B	C
D	E	D	D	A	A	E	D	D	E	A	A	E	B	B	C	E	C	C	D
A	D	C	D	A	A	E	A	C	D	A	A	E	B	E	D	D	C	C	C
A	D	E	A	E	A	E	B	C	D	A	A	E	B	E	E	D	C	A	C
A	C	C	C	A	A	E	D	E	C	A	A	E	C	E	D	E	C	C	C
D	D	C	B	D	A	C	D	C	B	D	A	E	C	D	D	D	E	E	D
A	C	C	B	A	D	E	D	A	E	A	A	E	E	E	E	D	C	C	C
A	E	C	D	A	A	D	C	E	A	D	A	E	D	A	D	E	C	D	B
D	D	A	E	A	A	D	C	C	D	B	C	A	B	E	D	E	D	C	D
A	D	C	D	A	A	E	E	C	C	A	A	E	B	E	D	D	B	C	C
D	A	C	C	A	A	D	C	C	D	A	D	E	E	C	C	D	C	D	C
A	D	C	C	A	A	E	A	D	C	A	B	D	B	E	D	B	E	C	C
E	E	C	C	A	A	C	E	D	C	E	A	E	B	E	E	A	C	E	E
A	E	C	C	A	A	E	E	D	D	E	A	E	B	E	D	E	C	C	C
A	D	C	C	A	E	E	A	D	B	A	A	C	D	C	B	D	A	C	C
E	C	D	E	A	E	C	D	C	E	D	C	C	E	E	B	E	E	C	E
A	E	C	D	A	D	E	D	C	B	B	A	E	A	E	D	A	C	E	C
D	C	A	E	A	D	C	A	B	C	A	C	E	E	A	E	C	C	C	C
A	C	C	A	D	D	E	C	C	D	A	D	E	D	E	D	D	C	D	C
A	E	C	D	A	E	D	A	E	E	D	A	E	D	E	D	B	D	C	C
B	E	C	E	A	A	E	C	E	D	A	A	E	E	E	D	D	A	C	C
C	D	C	D	D	C	E	A	E	D	A	E	E	A	A	D	D	C	C	E
B	E	D	D	E	E	B	D	D	E	D	D	D	D	B	A	E	C	E	D
A	C	C	B	A	C	C	D	D	D	A	A	E	B	A	D	B	C	C	C
